name,start_date,end_date,executive,council,council_website,id,email,image,party,source,ward
Ben Taylor,2016-10-23,,,Ballarat City Council,http://www.ballarat.vic.gov.au,ballarat_city_council/ben_taylor,bentaylor@ballarat.vic.gov.au,http://www.ballarat.vic.gov.au/media/4120110/ben_taylor.jpg,Liberal,http://www.ballarat.vic.gov.au/ac/councillors-and-wards/meet-your-councillors/councillor-ben-taylor.aspx,South
Mark Di Pasquale,,,,Banyule City Council,http://www.banyule.vic.gov.au,banyule_city_council/mark_di_pasquale,,,,,Bakewell
Wayne Phillips,,,,Banyule City Council,http://www.banyule.vic.gov.au,banyule_city_council/wayne_phillips,,,,,Beale
Jenny Mulholland,,,,Banyule City Council,http://www.banyule.vic.gov.au,banyule_city_council/jenny_mulholland,,,,,Griffin
Rick Garotti,,,,Banyule City Council,http://www.banyule.vic.gov.au,banyule_city_council/rick_garotti,,,,,Grimshaw
Steven Briffa,,,,Banyule City Council,http://www.banyule.vic.gov.au,banyule_city_council/steven_briffa,,,,,Hawdon
Tom Melican,,,,Banyule City Council,http://www.banyule.vic.gov.au,banyule_city_council/tom_melican,,,,,Ibbott
Craig Langdon,,,mayor,Banyule City Council,http://www.banyule.vic.gov.au,banyule_city_council/craig_langdon,,,,,Olympia
Bradley Drew,,,,Bass Coast Shire Council,http://www.basscoast.vic.gov.au,bass_coast_shire_council/bradley_drew,,,,,Anderson
Philip Wright,,,,Bass Coast Shire Council,http://www.basscoast.vic.gov.au,bass_coast_shire_council/philip_wright,,,,,Churchill
Neil Rankine,,,,Bass Coast Shire Council,http://www.basscoast.vic.gov.au,bass_coast_shire_council/neil_rankine,,,,,Hovell
Clare Le Serve,,,,Bass Coast Shire Council,http://www.basscoast.vic.gov.au,bass_coast_shire_council/clare_le_serve,,,,,Leadbeater
Kimberley Brown,,,,Bass Coast Shire Council,http://www.basscoast.vic.gov.au,bass_coast_shire_council/kimberley_brown,,,,,McHaffie
Andrew Phillips,,,,Bass Coast Shire Council,http://www.basscoast.vic.gov.au,bass_coast_shire_council/andrew_phillips,,,,,Thompson
Jordan Crugnale,,,mayor,Bass Coast Shire Council,http://www.basscoast.vic.gov.au,bass_coast_shire_council/jordan_crugnale,,,,,Townsend
Tricia Jones,,,,Baw Baw Shire Council,http://www.bawbawshire.vic.gov.au,baw_baw_shire_council/tricia_jones,,,,,Drouin
Terry Williamson,,,,Baw Baw Shire Council,http://www.bawbawshire.vic.gov.au,baw_baw_shire_council/terry_williamson,,,,,Drouin
Murray Cook,,,,Baw Baw Shire Council,http://www.bawbawshire.vic.gov.au,baw_baw_shire_council/murray_cook,,,,,Mount Worth
Peter Kostos,,,,Baw Baw Shire Council,http://www.bawbawshire.vic.gov.au,baw_baw_shire_council/peter_kostos,,,,,Mount Worth
David Balfour,,,,Baw Baw Shire Council,http://www.bawbawshire.vic.gov.au,baw_baw_shire_council/david_balfour,,,,,North
Deborah Brown,,,,Baw Baw Shire Council,http://www.bawbawshire.vic.gov.au,baw_baw_shire_council/deborah_brown,,,,,North
Joe Gauci,,,mayor,Baw Baw Shire Council,http://www.bawbawshire.vic.gov.au,baw_baw_shire_council/joe_gauci,,,,,Warragul
Gerard Murphy,,,,Baw Baw Shire Council,http://www.bawbawshire.vic.gov.au,baw_baw_shire_council/gerard_murphy,,,,,Warragul
Mikaela Power,,,,Baw Baw Shire Council,http://www.bawbawshire.vic.gov.au,baw_baw_shire_council/mikaela_power,,,,,Warragul
Felicity Frederico,,,,Bayside City Council,http://www.bayside.vic.gov.au,bayside_city_council/felicity_frederico,,,,,Central
Bruce Lowe,,,,Bayside City Council,http://www.bayside.vic.gov.au,bayside_city_council/bruce_lowe,,,,,Central
James Long,,,mayor,Bayside City Council,http://www.bayside.vic.gov.au,bayside_city_council/james_long,,,,,Central
Alex Del Porto,,,,Bayside City Council,http://www.bayside.vic.gov.au,bayside_city_council/alex_del_porto,,,,,Northern
Michael Heffernan,,,,Bayside City Council,http://www.bayside.vic.gov.au,bayside_city_council/michael_heffernan,,,,,Northern
Laurence Evans,,,,Bayside City Council,http://www.bayside.vic.gov.au,bayside_city_council/laurence_evans,,,,,Southern
Heather Stewart,,,,Bayside City Council,http://www.bayside.vic.gov.au,bayside_city_council/heather_stewart,,,,,Southern
Barbara Alexander,,,,Benalla Rural City Council,http://www.benalla.vic.gov.au,benalla_rural_city_council/barbara_alexander,,,,,
Peter Davis,,,,Benalla Rural City Council,http://www.benalla.vic.gov.au,benalla_rural_city_council/peter_davis,,,,,
Ellen Crocker,,,,Benalla Rural City Council,http://www.benalla.vic.gov.au,benalla_rural_city_council/ellen_crocker,,,,,
Andrew Vale,,,,Benalla Rural City Council,http://www.benalla.vic.gov.au,benalla_rural_city_council/andrew_vale,,,,,
Justin King,,,mayor,Benalla Rural City Council,http://www.benalla.vic.gov.au,benalla_rural_city_council/justin_king,,,,,
Suzy Martin,,,,Benalla Rural City Council,http://www.benalla.vic.gov.au,benalla_rural_city_council/suzy_martin,,,,,
Margaret Richards,,,,Benalla Rural City Council,http://www.benalla.vic.gov.au,benalla_rural_city_council/margaret_richards,,,,,
Jim Parke,,,mayor,Boroondara City Council,http://www.boroondara.vic.gov.au,boroondara_city_council/jim_parke,Jim.Parke@boroondara.vic.gov.au,https://archive.org/download/australian_local_councillor_images/2016-01-04_City_of_Boroondara_Councillors/jim_parke-120px.jpg,Independent,,Bellevue
Judith Voce,,2016-10-22,,Boroondara City Council,http://www.boroondara.vic.gov.au,boroondara_city_council/judith_voce,Judith.Voce@boroondara.vic.gov.au,https://archive.org/download/australian_local_councillor_images/2016-01-04_City_of_Boroondara_Councillors/judith_voce-120px.jpg,Independent,,Cotham
Coral Ross,,,,Boroondara City Council,http://www.boroondara.vic.gov.au,boroondara_city_council/coral_ross,Coral.Ross@boroondara.vic.gov.au,https://archive.org/download/australian_local_councillor_images/2016-01-04_City_of_Boroondara_Councillors/coral_ross-120px.jpg,Independent,,Gardiner
Steve Hurd,,,,Boroondara City Council,http://www.boroondara.vic.gov.au,boroondara_city_council/steve_hurd,Steve.Hurd@boroondara.vic.gov.au,https://archive.org/download/australian_local_councillor_images/2016-01-04_City_of_Boroondara_Councillors/steve_hurd-120px.jpg,Independent,,Glenferrie
Jack Wegman,,,,Boroondara City Council,http://www.boroondara.vic.gov.au,boroondara_city_council/jack_wegman,Jack.Wegman@boroondara.vic.gov.au,https://archive.org/download/australian_local_councillor_images/2016-01-04_City_of_Boroondara_Councillors/jack_wegman-120px.jpg,Independent,,Junction
Heinz Kreutz,,2016-10-22,,Boroondara City Council,http://www.boroondara.vic.gov.au,boroondara_city_council/heinz_kreutz,Heinz.Kreutz@boroondara.vic.gov.au,https://archive.org/download/australian_local_councillor_images/2016-01-04_City_of_Boroondara_Councillors/heinz_kreutz-120px.jpg,Independent,,Lynden
Jane Addis,,,,Boroondara City Council,http://www.boroondara.vic.gov.au,boroondara_city_council/jane_addis,Jane.Addis@boroondara.vic.gov.au,https://archive.org/download/australian_local_councillor_images/2016-01-04_City_of_Boroondara_Councillors/jane_addis-120px.jpg,Independent,,Maling
Philip Mallis,,2016-10-22,,Boroondara City Council,http://www.boroondara.vic.gov.au,boroondara_city_council/philip_mallis,Philip.Mallis@boroondara.vic.gov.au,https://archive.org/download/australian_local_councillor_images/2016-01-04_City_of_Boroondara_Councillors/philip_mallis-120px.jpg,Independent,,Maranoa
Kevin Chow,,2016-10-22,,Boroondara City Council,http://www.boroondara.vic.gov.au,boroondara_city_council/kevin_chow,Kevin.Chow@boroondara.vic.gov.au,https://archive.org/download/australian_local_councillor_images/2016-01-04_City_of_Boroondara_Councillors/kevin_chow-120px.jpg,Labor,,Solway
Phillip Healey,,,,Boroondara City Council,http://www.boroondara.vic.gov.au,boroondara_city_council/phillip_healey,Phillip.Healey@boroondara.vic.gov.au,https://archive.org/download/australian_local_councillor_images/2016-01-04_City_of_Boroondara_Councillors/phillip_healey-120px.jpg,Liberal,,Studley
Felicity Sinfield,2016-11-02,,,Boroondara City Council,http://www.boroondara.vic.gov.au,boroondara_city_council/felicity_sinfield,Felicity.Sinfield@boroondara.vic.gov.au,https://www.boroondara.vic.gov.au/-/media/Images/Your%20Council/Councillors%20and%20wards/Cr%20Sinfield.jpg,Liberal,https://www.boroondara.vic.gov.au/Your_Council/councillors-wards/wards/cotham,Cotham
Lisa Hollingsworth,2016-11-02,,,Boroondara City Council,http://www.boroondara.vic.gov.au,boroondara_city_council/lisa_hollingsworth,Lisa.Hollingsworth@boroondara.vic.gov.au,https://www.boroondara.vic.gov.au/-/media/Images/Your%20Council/Councillors%20and%20wards/CrHollingsworth-245px-X-200px-jpg.jpg,Independent,https://www.boroondara.vic.gov.au/Your_Council/councillors-wards/wards/lynden,Lynden
Cynthia Watson,2016-11-02,,,Boroondara City Council,http://www.boroondara.vic.gov.au,boroondara_city_council/cynthia_watson,Cynthia.Watson@boroondara.vic.gov.au,https://www.boroondara.vic.gov.au/-/media/Images/Your%20Council/Councillors%20and%20wards/Cr%20Watson.jpg,Liberal,https://www.boroondara.vic.gov.au/Your_Council/councillors-wards/wards/maranoa,Maranoa
Garry Thompson,2016-11-02,,,Boroondara City Council,http://www.boroondara.vic.gov.au,boroondara_city_council/garry_thompson,Garry.Thompson@boroondara.vic.gov.au,https://www.boroondara.vic.gov.au/-/media/Images/Your%20Council/Councillors%20and%20wards/Cr%20Thompson.jpg,Liberal,https://www.boroondara.vic.gov.au/Your_Council/councillors-wards/wards/solway,Solway
Stuart McLean,,,,Buloke Shire Council,http://www.buloke.vic.gov.au,buloke_shire_council/stuart_mclean,,,,,Lower Avoca
David Pollard,,,,Buloke Shire Council,http://www.buloke.vic.gov.au,buloke_shire_council/david_pollard,,,,,Lower Avoca
Reid Mather,,,mayor,Buloke Shire Council,http://www.buloke.vic.gov.au,buloke_shire_council/reid_mather,,,,,Mallee
Ellen White,,,,Buloke Shire Council,http://www.buloke.vic.gov.au,buloke_shire_council/ellen_white,,,,,Mallee
Graeme Milne,,,,Buloke Shire Council,http://www.buloke.vic.gov.au,buloke_shire_council/graeme_milne,,,,,Mount Jeffcott
Gail Sharp,,,,Buloke Shire Council,http://www.buloke.vic.gov.au,buloke_shire_council/gail_sharp,,,,,Mount Jeffcott
Leo Tellefson,,,,Buloke Shire Council,http://www.buloke.vic.gov.au,buloke_shire_council/leo_tellefson,,,,,Mount Jeffcott
Emma Bradbury,,,,Campaspe Shire Council,http://www.campaspe.vic.gov.au,campaspe_shire_council/emma_bradbury,,,,,Echuca
Ian Maddison,,,,Campaspe Shire Council,http://www.campaspe.vic.gov.au,campaspe_shire_council/ian_maddison,,,,,Echuca
Paul Jarman,,,,Campaspe Shire Council,http://www.campaspe.vic.gov.au,campaspe_shire_council/paul_jarman,,,,,Echuca
Carol Howell,,,,Campaspe Shire Council,http://www.campaspe.vic.gov.au,campaspe_shire_council/carol_howell,,,,,Kyabram-Deakin
Neil Pankhurst,,,,Campaspe Shire Council,http://www.campaspe.vic.gov.au,campaspe_shire_council/neil_pankhurst,,,,,Kyabram-Deakin
John Zobec,,,,Campaspe Shire Council,http://www.campaspe.vic.gov.au,campaspe_shire_council/john_zobec,,,,,Kyabram-Deakin
Leigh Wilson,,,mayor,Campaspe Shire Council,http://www.campaspe.vic.gov.au,campaspe_shire_council/leigh_wilson,,,,,Rochester
Adrian Weston,,,,Campaspe Shire Council,http://www.campaspe.vic.gov.au,campaspe_shire_council/adrian_weston,,,,,Waranga
Gregory Toll,,,,Campaspe Shire Council,http://www.campaspe.vic.gov.au,campaspe_shire_council/gregory_toll,,,,,Western
George Blenkhorn,,,,Cardinia Shire Council,http://www.cardinia.vic.gov.au,cardinia_shire_council/george_blenkhorn,,,,,Central
Kate Lempriere,,,,Cardinia Shire Council,http://www.cardinia.vic.gov.au,cardinia_shire_council/kate_lempriere,,,,,Central
Jodie Owen,,,mayor,Cardinia Shire Council,http://www.cardinia.vic.gov.au,cardinia_shire_council/jodie_owen,,,,,Central
Collin Ross,,,,Cardinia Shire Council,http://www.cardinia.vic.gov.au,cardinia_shire_council/collin_ross,,,,,Central
Graeme Moore,,,,Cardinia Shire Council,http://www.cardinia.vic.gov.au,cardinia_shire_council/graeme_moore,,,,,Port
David Young,,,,Cardinia Shire Council,http://www.cardinia.vic.gov.au,cardinia_shire_council/david_young,,,,,Port
Tania Baxter,,,,Cardinia Shire Council,http://www.cardinia.vic.gov.au,cardinia_shire_council/tania_baxter,,,,,Ranges
Brett Owen,,,,Cardinia Shire Council,http://www.cardinia.vic.gov.au,cardinia_shire_council/brett_owen,,,,,Ranges
Leticia Wilmot,,,,Cardinia Shire Council,http://www.cardinia.vic.gov.au,cardinia_shire_council/leticia_wilmot,,,,,Ranges
Geoff Ablett,,,,Casey City Council,http://www.casey.vic.gov.au,casey_city_council/geoff_ablett,gablett@casey.vic.gov.au,http://www.casey.vic.gov.au/files/4d01b05a-8273-4f81-8bd4-a23c00d25b7d/Cr-Geoff-Ablett.jpg,Liberal,http://www.casey.vic.gov.au/council/mayor-councillors,Balla Balla
Mick Morland,,2016-10-22,,Casey City Council,http://www.casey.vic.gov.au,casey_city_council/mick_morland,mmorland@casey.vic.gov.au,http://www.casey.vic.gov.au/files/7db8e1f5-712a-449d-873a-a23c00d27524/mick-morland.jpg,Liberal,http://www.casey.vic.gov.au/council/mayor-councillors,Edrington
Timothy Jackson,2016-10-23,,,Casey City Council,http://www.casey.vic.gov.au,casey_city_council/timothy_jackson,tjackson@casey.vic.gov.au,http://www.casey.vic.gov.au/files/assets/public/council/your-council/mayor-and-councillors/timothy-jackson_edrington.jpg,,http://www.casey.vic.gov.au/council/mayor-councillors,Edrington
Susan Serey,,,Deputy Mayor,Casey City Council,http://www.casey.vic.gov.au,casey_city_council/susan_serey,sserey@casey.vic.gov.au,http://www.casey.vic.gov.au/files/2b48e454-0af5-4c3e-abf9-a23c00d27639/susan-serey.jpg,Liberal,http://www.casey.vic.gov.au/council/mayor-councillors,Edrington
Rosalie Crestani,,,,Casey City Council,http://www.casey.vic.gov.au,casey_city_council/rosalie_crestani,rcrestani@casey.vic.gov.au,http://www.casey.vic.gov.au/files/b27a25d6-bf2f-4224-bdb0-a23c00d275ba/rosalie-crestani.jpg,Rise Up Australia,http://www.casey.vic.gov.au/council/mayor-councillors,Four Oaks
Rafal Kaplon,,2016-10-22,,Casey City Council,http://www.casey.vic.gov.au,casey_city_council/rafal_kaplon,rkaplon@casey.vic.gov.au,http://www.casey.vic.gov.au/files/f692cd66-839e-4fa6-829a-a23c00d2756f/rafal-kaplon.jpg,Independent,http://www.casey.vic.gov.au/council/mayor-councillors,Four Oaks
Mila Gilic,2016-10-23,,,Casey City Council,http://www.casey.vic.gov.au,casey_city_council/mila_gilic,mgilic@casey.vic.gov.au,http://www.casey.vic.gov.au/files/assets/public/council/mayor-and-councillors/gilic_2.png,,http://www.casey.vic.gov.au/council/mayor-councillors,Four Oaks
Steve Beardon,2016-10-23,2017-05-09,,Casey City Council,http://www.casey.vic.gov.au,casey_city_council/steve_beardon,,,,http://www.casey.vic.gov.au/council/mayor-councillors,
Gary Rowe,,,,Casey City Council,http://www.casey.vic.gov.au,casey_city_council/gary_rowe,growe@casey.vic.gov.au,http://www.casey.vic.gov.au/files/ce4ab768-67ab-4639-8cbe-a23c00d27477/gary-rowe.jpg,Liberal,http://www.casey.vic.gov.au/council/mayor-councillors,Mayfield
Amanda Stapledon,,,,Casey City Council,http://www.casey.vic.gov.au,casey_city_council/amanda_stapledon,astapledon@casey.vic.gov.au,http://www.casey.vic.gov.au/files/6714cc3a-7748-43b3-823b-a23c00d273e1/amanda-stapledon.jpg,Liberal,http://www.casey.vic.gov.au/council/mayor-councillors,Mayfield
Damien Rosario,,,Deputy Mayor,Casey City Council,http://www.casey.vic.gov.au,casey_city_council/damien_rosario,drosario@casey.vic.gov.au,http://www.casey.vic.gov.au/files/a7f2458b-6cbb-4c2d-89d6-a23c00d2741e/damien-rosario.jpg,Liberal,http://www.casey.vic.gov.au/council/mayor-councillors,River Gum
Wayne Smith,,,,Casey City Council,http://www.casey.vic.gov.au,casey_city_council/wayne_smith,wsmith@casey.vic.gov.au,http://www.casey.vic.gov.au/files/f93b731e-755d-4fc4-9e9c-a39b00f62492/Cr-Wayne-Smith.jpg,Labor,http://www.casey.vic.gov.au/council/mayor-councillors,River Gum
Sam Aziz,,,Mayor,Casey City Council,http://www.casey.vic.gov.au,casey_city_council/sam_aziz,saziz@casey.vic.gov.au,http://www.casey.vic.gov.au/files/354471c5-44bc-4cc6-829b-a23c00d275f7/sam-aziz.jpg,Liberal,http://www.casey.vic.gov.au/council/mayor-councillors,Springfield
Louise Berkelmans,,2016-10-22,,Casey City Council,http://www.casey.vic.gov.au,casey_city_council/louise_berkelmans,lberkelmans@casey.vic.gov.au,http://www.casey.vic.gov.au/files/260da810-9487-4696-b65c-a23c00d274e7/louise-berkelmans.jpg,Independent,http://www.casey.vic.gov.au/council/mayor-councillors,Springfield
Rex Flannery,2016-10-23,,,Casey City Council,http://www.casey.vic.gov.au,casey_city_council/rex_flannery,rflannery@casey.vic.gov.au,http://www.casey.vic.gov.au/files/assets/public/council/your-council/mayor-and-councillors/rex-flannery_springfield.jpg,,http://www.casey.vic.gov.au/council/mayor-councillors,Springfield
Bob Henderson,,,,Central Goldfields Shire Council,http://www.centralgoldfields.com.au,central_goldfields_shire_council/bob_henderson,,,,,Flynn
Geoff Lovett,,,mayor,Central Goldfields Shire Council,http://www.centralgoldfields.com.au,central_goldfields_shire_council/geoff_lovett,,,,,Maryborough
Wendy McIvor,,,,Central Goldfields Shire Council,http://www.centralgoldfields.com.au,central_goldfields_shire_council/wendy_mcivor,,,,,Maryborough
Paula Nixon,,,,Central Goldfields Shire Council,http://www.centralgoldfields.com.au,central_goldfields_shire_council/paula_nixon,,,,,Maryborough
Barry Rinaldi,,,,Central Goldfields Shire Council,http://www.centralgoldfields.com.au,central_goldfields_shire_council/barry_rinaldi,,,,,Maryborough
John Van Beveren,,,,Central Goldfields Shire Council,http://www.centralgoldfields.com.au,central_goldfields_shire_council/john_van_beveren,,,,,Paddys Ranges
Helen Broad,,,,Central Goldfields Shire Council,http://www.centralgoldfields.com.au,central_goldfields_shire_council/helen_broad,,,,,Tullaroop
Brian Crook,,,,Colac Otway Shire Council,http://www.colacotway.vic.gov.au,colac_otway_shire_council/brian_crook,,,,,
Michael Delahunty,,,,Colac Otway Shire Council,http://www.colacotway.vic.gov.au,colac_otway_shire_council/michael_delahunty,,,,,
Stephen Hart,,,,Colac Otway Shire Council,http://www.colacotway.vic.gov.au,colac_otway_shire_council/stephen_hart,,,,,
Frank Buchanan,,,mayor,Colac Otway Shire Council,http://www.colacotway.vic.gov.au,colac_otway_shire_council/frank_buchanan,,,,,
Lyn Russell,,,,Colac Otway Shire Council,http://www.colacotway.vic.gov.au,colac_otway_shire_council/lyn_russell,,,,,
Chris Smith,,,,Colac Otway Shire Council,http://www.colacotway.vic.gov.au,colac_otway_shire_council/chris_smith,,,,,
Terry Woodcroft,,,,Colac Otway Shire Council,http://www.colacotway.vic.gov.au,colac_otway_shire_council/terry_woodcroft,,,,,
Ruth Gstrein,,,,Corangamite Shire Council,http://www.corangamite.vic.gov.au,corangamite_shire_council/ruth_gstrein,,,,,Central
Wayne Oakes,,,,Corangamite Shire Council,http://www.corangamite.vic.gov.au,corangamite_shire_council/wayne_oakes,,,,,Central
Chris O'Connor,,,,Corangamite Shire Council,http://www.corangamite.vic.gov.au,corangamite_shire_council/chris_o'connor,,,,,Central
Peter Harkin,,,,Corangamite Shire Council,http://www.corangamite.vic.gov.au,corangamite_shire_council/peter_harkin,,,,,Coastal
Geoff Smith,,,,Corangamite Shire Council,http://www.corangamite.vic.gov.au,corangamite_shire_council/geoff_smith,,,,,North
Joanne Beard,,,mayor,Corangamite Shire Council,http://www.corangamite.vic.gov.au,corangamite_shire_council/joanne_beard,,,,,South Central
Neil Trotter,,,,Corangamite Shire Council,http://www.corangamite.vic.gov.au,corangamite_shire_council/neil_trotter,,,,,South West
Vince Fontana,,,mayor,Darebin City Council,http://www.darebin.vic.gov.au,darebin_city_council/vince_fontana,Mayor@darebin.vic.gov.au,http://www.darebin.vic.gov.au/-/media/cityofdarebin/Images/Home/YourCouncil/HowCouncilWorks/CouncilandOrganisation/MayorandCouncillors/Cr_Vince_Fontana_200x250.ashx,Independent,http://www.darebin.vic.gov.au/Your-Council/How-council-works/Council-and-Elections,Cazaly
Bo Li,,,,Darebin City Council,http://www.darebin.vic.gov.au,darebin_city_council/bo_li,Bo-Li@cr.darebin.org,http://www.darebin.vic.gov.au/-/media/cityofdarebin/Images/Home/YourCouncil/HowCouncilWorks/CouncilandOrganisation/MayorandCouncillors/CrBoLi.ashx,Independent,http://www.darebin.vic.gov.au/Your-Council/How-council-works/Council-and-Elections,Cazaly
