name,start_date,end_date,executive,council,council_website,id,email,image,party,source,ward
Steven Toomey,,,,Brisbane City Council,http://www.brisbane.qld.gov.au,brisbane_city_council/steven_toomey,thegap.ward@bcc.qld.gov.au,https://www.brisbane.qld.gov.au/sites/default/files/styles/large/public/200x177-cr-steve-toomey.jpg,Liberal National Party,https://www.brisbane.qld.gov.au/about-council/governance-strategy/councillors-wards/the-gap-ward,The Gap
Jarred Cassidy,,,,Brisbane City Council,http://www.brisbane.qld.gov.au,brisbane_city_council/jarred_cassidy,deagon.ward@bcc.qld.gov.au,https://www.brisbane.qld.gov.au/sites/default/files/styles/large/public/200x177-cr-jarred-cassidy.jpg,Labor,https://www.brisbane.qld.gov.au/about-council/governance-strategy/councillors-wards/deagon-ward,Deagon
Angela Owen,,,,Brisbane City Council,http://www.brisbane.qld.gov.au,brisbane_city_council/angela_owen,calamvale.ward@bcc.qld.gov.au,https://www.brisbane.qld.gov.au/sites/default/files/styles/large/public/200x177-cr-angela-owen.jpg,Liberal National Party,https://www.brisbane.qld.gov.au/about-council/governance-strategy/councillors-wards/calamvale-ward,Calamvale
Charles Strunk,,,,Brisbane City Council,http://www.brisbane.qld.gov.au,brisbane_city_council/charles_strunk,forestlake.ward@bcc.qld.gov.au,https://www.brisbane.qld.gov.au/sites/default/files/styles/large/public/200x177-cr-charles-strunk.jpg,Labor,https://www.brisbane.qld.gov.au/about-council/governance-strategy/councillors-wards/forest-lake-ward,Forest Lake
Adrian Schrinner,,,,Brisbane City Council,http://www.brisbane.qld.gov.au,brisbane_city_council/adrian_schrinner,chandler.ward@bcc.qld.gov.au,https://www.brisbane.qld.gov.au/sites/default/files/styles/large/public/200x177-cr-adrian-schrinner.jpg,Liberal National Party,https://www.brisbane.qld.gov.au/about-council/governance-strategy/councillors-wards/chandler-ward,Chandler
Amanda Cooper,,,,Brisbane City Council,http://www.brisbane.qld.gov.au,brisbane_city_council/amanda_cooper,brackenridge.ward@bcc.qld.gov.au,https://www.brisbane.qld.gov.au/sites/default/files/styles/large/public/200x177-cr-amanda-cooper.jpg,Liberal National Party,https://www.brisbane.qld.gov.au/about-council/governance-strategy/councillors-wards/bracken-ridge-ward,Bracken Ridge
Andrew Wines,,,,Brisbane City Council,http://www.brisbane.qld.gov.au,brisbane_city_council/andrew_wines,enoggera.ward@bcc.qld.gov.au,https://www.brisbane.qld.gov.au/sites/default/files/styles/large/public/200x177-cr-andrew-wines.jpg,Liberal National Party,https://www.brisbane.qld.gov.au/about-council/governance-strategy/councillors-wards/enoggera-ward,Enoggera
David McLachlan,,,,Brisbane City Council,http://www.brisbane.qld.gov.au,brisbane_city_council/david_mclachlan,hamilton.ward@bcc.qld.gov.au,https://www.brisbane.qld.gov.au/sites/default/files/styles/large/public/200x177-cr-david-mclachlan.jpg,Liberal National Party,https://www.brisbane.qld.gov.au/about-council/governance-strategy/councillors-wards/hamilton-ward,Hamilton
Fiona King,,,,Brisbane City Council,http://www.brisbane.qld.gov.au,brisbane_city_council/fiona_king,marchant.ward@bcc.qld.gov.au,https://www.brisbane.qld.gov.au/sites/default/files/styles/large/public/200x177-cr-fiona-king.jpg,Liberal National Party,https://www.brisbane.qld.gov.au/about-council/governance-strategy/councillors-wards/marchant-ward,Marchant
Johnathan Sri,,,,Brisbane City Council,http://www.brisbane.qld.gov.au,brisbane_city_council/johnathan_sri,thegabba.ward@bcc.qld.gov.au,https://www.brisbane.qld.gov.au/sites/default/files/styles/large/public/200x177-cr-jonathan-sri.jpg,Greens,https://www.brisbane.qld.gov.au/about-council/governance-strategy/councillors-wards/the-gabba-ward,The Gabba
Ian McKenzie,,,,Brisbane City Council,http://www.brisbane.qld.gov.au,brisbane_city_council/ian_mckenzie,coorparoo.ward@bcc.qld.gov.au,https://www.brisbane.qld.gov.au/sites/default/files/styles/large/public/200x177-cr-ian-mckenzie.jpg,Liberal National Party,https://www.brisbane.qld.gov.au/about-council/governance-strategy/councillors-wards/coorparoo-ward,Coorparoo
Julian Simmonds,,,,Brisbane City Council,http://www.brisbane.qld.gov.au,brisbane_city_council/julian_simmonds,waltertaylor.ward@bcc.qld.gov.au,https://www.brisbane.qld.gov.au/sites/default/files/styles/large/public/200x177-cr-julian-simmonds.jpg,Liberal National Party,https://www.brisbane.qld.gov.au/about-council/governance-strategy/councillors-wards/walter-taylor-ward,Walter Taylor
Kim Marx,,,,Brisbane City Council,http://www.brisbane.qld.gov.au,brisbane_city_council/kim_marx,runcorn.ward@bcc.qld.gov.au,https://www.brisbane.qld.gov.au/sites/default/files/styles/large/public/200x177-cr-kim-marx.jpg,Liberal National Party,https://www.brisbane.qld.gov.au/about-council/governance-strategy/councillors-wards/runcorn-ward,Runcorn
Adam Allan,,,,Brisbane City Council,http://www.brisbane.qld.gov.au,brisbane_city_council/adam_allan,northgate.ward@bcc.qld.gov.au,https://www.brisbane.qld.gov.au/sites/default/files/styles/large/public/200x177-cr-adam-allen.jpg,Liberal National Party,https://www.brisbane.qld.gov.au/about-council/governance-strategy/councillors-wards/northgate-ward,Northgate
Krista Adams,,,,Brisbane City Council,http://www.brisbane.qld.gov.au,brisbane_city_council/krista_adams,hollandpark.ward@bcc.qld.gov.au,https://www.brisbane.qld.gov.au/sites/default/files/styles/large/public/200x177-cr-krista-adams.jpg,Liberal National Party,https://www.brisbane.qld.gov.au/about-council/governance-strategy/councillors-wards/holland-park-ward,Holland Park
Kate Richards,,,,Brisbane City Council,http://www.brisbane.qld.gov.au,brisbane_city_council/kate_richards,pullenvale.ward@bcc.qld.gov.au,https://www.brisbane.qld.gov.au/sites/default/files/styles/large/public/200x177-cr-kate-richards.jpg,Liberal National Party,https://www.brisbane.qld.gov.au/about-council/governance-strategy/councillors-wards/pullenvale-ward,Pullenvale
Matthew Bourke,,,,Brisbane City Council,http://www.brisbane.qld.gov.au,brisbane_city_council/matthew_bourke,jamboree.ward@bcc.qld.gov.au,https://www.brisbane.qld.gov.au/sites/default/files/styles/large/public/200x177-cr-matthew-bourke.jpg,Liberal National Party,https://www.brisbane.qld.gov.au/about-council/governance-strategy/councillors-wards/jamboree-ward,Jamboree
Nicole Johnston,,,,Brisbane City Council,http://www.brisbane.qld.gov.au,brisbane_city_council/nicole_johnston,tennyson.ward@bcc.qld.gov.au,https://www.brisbane.qld.gov.au/sites/default/files/styles/large/public/200x177-cr-nicole-johnston.jpg,Independent,https://www.brisbane.qld.gov.au/about-council/governance-strategy/councillors-wards/tennyson-ward,Tennyson
Norm Wyndham,,,,Brisbane City Council,http://www.brisbane.qld.gov.au,brisbane_city_council/norm_wyndham,mcdowall.ward@bcc.qld.gov.au,https://www.brisbane.qld.gov.au/sites/default/files/styles/large/public/200x177-cr-norm-wyndham.jpg,Liberal National Party,https://www.brisbane.qld.gov.au/about-council/governance-strategy/councillors-wards/mcdowall-ward,McDowall
Peter Cumming,,,,Brisbane City Council,http://www.brisbane.qld.gov.au,brisbane_city_council/peter_cumming,wynnummanly.ward@bcc.qld.gov.au,https://www.brisbane.qld.gov.au/sites/default/files/styles/large/public/200x177-cr-peter-cumming.jpg,Labor,https://www.brisbane.qld.gov.au/about-council/governance-strategy/councillors-wards/wynnum-manly-ward,Wynnum Manly
Peter Matic,,,,Brisbane City Council,http://www.brisbane.qld.gov.au,brisbane_city_council/peter_matic,paddington.ward@bcc.qld.gov.au,https://www.brisbane.qld.gov.au/sites/default/files/styles/large/public/200x177-cr-peter-matic.jpg,Liberal National Party,https://www.brisbane.qld.gov.au/about-council/governance-strategy/councillors-wards/paddington-ward,Paddington
Ryan Murphy,,,,Brisbane City Council,http://www.brisbane.qld.gov.au,brisbane_city_council/ryan_murphy,doboy.ward@bcc.qld.gov.au,https://www.brisbane.qld.gov.au/sites/default/files/styles/large/public/200x177-cr-ryan-murphy.jpg,Liberal National Party,https://www.brisbane.qld.gov.au/about-council/governance-strategy/councillors-wards/doboy-ward,Doboy
Shayne Sutton,,,,Brisbane City Council,http://www.brisbane.qld.gov.au,brisbane_city_council/shayne_sutton,morningside.ward@bcc.qld.gov.au,https://www.brisbane.qld.gov.au/sites/default/files/styles/large/public/200x177-cr-shayne-sutton.jpg,Labor,https://www.brisbane.qld.gov.au/about-council/governance-strategy/councillors-wards/morningside-ward,Morningside
Steve Griffiths,,,,Brisbane City Council,http://www.brisbane.qld.gov.au,brisbane_city_council/steve_griffiths,moorooka.ward@bcc.qld.gov.au,https://www.brisbane.qld.gov.au/sites/default/files/styles/large/public/200x177-cr-steve-griffiths.jpg,Labor,https://www.brisbane.qld.gov.au/about-council/governance-strategy/councillors-wards/moorooka-ward,Moorooka
Steven Huang,,,,Brisbane City Council,http://www.brisbane.qld.gov.au,brisbane_city_council/steven_huang,macgregor.ward@bcc.qld.gov.au,https://www.brisbane.qld.gov.au/sites/default/files/styles/large/public/200x177-cr-steven-huang.jpg,Liberal National Party,https://www.brisbane.qld.gov.au/about-council/governance-strategy/councillors-wards/macgregor-ward,MacGregor
Vicki Howard,,,,Brisbane City Council,http://www.brisbane.qld.gov.au,brisbane_city_council/vicki_howard,central.ward@bcc.qld.gov.au,https://www.brisbane.qld.gov.au/sites/default/files/styles/large/public/200x177-cr-vicki-howard.jpg,Liberal National Party,https://www.brisbane.qld.gov.au/about-council/governance-strategy/councillors-wards/central-ward,Central
John Ferguson,,,mayor,Bulloo Shire Council,http://www.bulloo.qld.gov.au,bulloo_shire_council/john_ferguson,,,,,
Alison Petty,,,,Bulloo Shire Council,http://www.bulloo.qld.gov.au,bulloo_shire_council/alison_petty,,,,,
Donna Humphris,,,,Bulloo Shire Council,http://www.bulloo.qld.gov.au,bulloo_shire_council/donna_humphris,,,,,
Shirley Girdler,,,,Bulloo Shire Council,http://www.bulloo.qld.gov.au,bulloo_shire_council/shirley_girdler,,,,,
John Cobb,,,,Bulloo Shire Council,http://www.bulloo.qld.gov.au,bulloo_shire_council/john_cobb,,,,,
Jack Dempsey,,,mayor,Bundaberg Regional Council,http://www.bundaberg.qld.gov.au,bundaberg_regional_council/jack_dempsey,jack.dempsey@bundaberg.qld.gov.au,,,,
Jason Bartels,,,,Bundaberg Regional Council,http://www.bundaberg.qld.gov.au,bundaberg_regional_council/jason_bartels,jason.bartels@bundaberg.qld.gov.au,http://www.bundaberg.qld.gov.au/files/images/councillors/Jason-Bartels.png,,,Division 1
William (Bill) Trevor,,,,Bundaberg Regional Council,http://www.bundaberg.qld.gov.au,bundaberg_regional_council/william_(bill)_trevor,bill.trevor@bundaberg.qld.gov.au,http://www.bundaberg.qld.gov.au/files/images/councillors/Cr-Bill-Trevor.png,,,Division 2
Helen Blackburn,,,,Bundaberg Regional Council,http://www.bundaberg.qld.gov.au,bundaberg_regional_council/helen_blackburn,helen.blackburn@bundaberg.qld.gov.au,http://www.bundaberg.qld.gov.au/files/images/councillors/Cr-Helen-Blackburn.png,,,Division 4
Scott Rowleson,,,,Bundaberg Regional Council,http://www.bundaberg.qld.gov.au,bundaberg_regional_council/scott_rowleson,scott.rowleson@bundaberg.qld.gov.au,http://www.bundaberg.qld.gov.au/files/images/councillors/Cr-Scott-Rowleson.png,,,Division 6
Peter Heuser,,,,Bundaberg Regional Council,http://www.bundaberg.qld.gov.au,bundaberg_regional_council/peter_heuser,peter.heuser@bundaberg.qld.gov.au,http://www.bundaberg.qld.gov.au/files/images/councillors/Cr-Peter-Heuser.png,,,Division 10
David Batt,,,,Bundaberg Regional Council,http://www.bundaberg.qld.gov.au,bundaberg_regional_council/david_batt,david.batt@bundaberg.qld.gov.au,http://www.bundaberg.qld.gov.au/files/images/councillors/Cr_David_Batt_0.jpg,,,Division 8
Gregory Barnes,,,,Bundaberg Regional Council,http://www.bundaberg.qld.gov.au,bundaberg_regional_council/gregory_barnes,greg.barnes@bundaberg.qld.gov.au,http://www.bundaberg.qld.gov.au/files/images/councillors/Cr_Greg_Barnes_0.jpg,,,Division 5
Judith Peters,,,,Bundaberg Regional Council,http://www.bundaberg.qld.gov.au,bundaberg_regional_council/judith_peters,judy.peters@bundaberg.qld.gov.au,http://www.bundaberg.qld.gov.au/files/images/councillors/Cr_Judy_Peters.jpg,,,Division 9
Ross Sommerfeld,,,,Bundaberg Regional Council,http://www.bundaberg.qld.gov.au,bundaberg_regional_council/ross_sommerfeld,ross.sommerfeld@bundaberg.qld.gov.au,http://www.bundaberg.qld.gov.au/files/images/councillors/Cr_Ross_Sommerfeld_0.jpg,,,Division 7
Wayne Honor,,,,Bundaberg Regional Council,http://www.bundaberg.qld.gov.au,bundaberg_regional_council/wayne_honor,wayne.honor@bundaberg.qld.gov.au,http://www.bundaberg.qld.gov.au/files/images/councillors/Cr_Wayne_Honor.jpg,,,Division 3
Lyn McLaughlin,,,mayor,Burdekin Shire Council,http://www.burdekin.qld.gov.au,burdekin_shire_council/lyn_mclaughlin,councillor.mclaughlin@burdekin.qld.gov.au,http://www.burdekin.qld.gov.au/wp/media/2011/07/Cr-Lyn-McLaughlin-2.jpg,,,
John Bonanno,,,,Burdekin Shire Council,http://www.burdekin.qld.gov.au,burdekin_shire_council/john_bonanno,councillor.bonanno@burdekin.qld.gov.au,http://www.burdekin.qld.gov.au/wp/media/2011/07/Cr-John-Bonanno-2.jpg,,,
Tony Goodard,,,,Burdekin Shire Council,http://www.burdekin.qld.gov.au,burdekin_shire_council/tony_goodard,councillor.goddard@burdekin.qld.gov.au,http://www.burdekin.qld.gov.au/wp/media/2011/07/Cr-Tony-Goddard-2.jpg,,,
Sue Perry,,,,Burdekin Shire Council,http://www.burdekin.qld.gov.au,burdekin_shire_council/sue_perry,councillor.perry@burdekin.qld.gov.au,http://www.burdekin.qld.gov.au/wp/media/2011/07/Cr-Sue-Perry-2.jpg,,,
John Woods,,,,Burdekin Shire Council,http://www.burdekin.qld.gov.au,burdekin_shire_council/john_woods,councillor.woods@burdekin.qld.gov.au,http://www.burdekin.qld.gov.au/wp/media/2011/07/Cr-John-Woods-2.jpg,,,
Ted Bawden,,,,Burdekin Shire Council,http://www.burdekin.qld.gov.au,burdekin_shire_council/ted_bawden,councillor.bawden@burdekin.qld.gov.au,http://www.burdekin.qld.gov.au/wp/media/2011/07/Cr-Ted-Bawden-2.jpg,,,
Uli Liessmann,,,,Burdekin Shire Council,http://www.burdekin.qld.gov.au,burdekin_shire_council/uli_liessmann,councillor.liessmann@burdekin.qld.gov.au,http://www.burdekin.qld.gov.au/wp/media/2011/07/Cr-Uli-Liessmann-2.jpg,,,
Ernie Camp,,,mayor,Burke Shire Council,http://www.burke.qld.gov.au,burke_shire_council/ernie_camp,,,,,
John Clarke,,,,Burke Shire Council,http://www.burke.qld.gov.au,burke_shire_council/john_clarke,,,,,
John Yanner,,,,Burke Shire Council,http://www.burke.qld.gov.au,burke_shire_council/john_yanner,,,,,
Paul Poole,,,,Burke Shire Council,http://www.burke.qld.gov.au,burke_shire_council/paul_poole,,,,,
Tonya Murray,,,,Burke Shire Council,http://www.burke.qld.gov.au,burke_shire_council/tonya_murray,,,,,
Bob Manning,,,mayor,Cairns Regional Council,http://www.cairns.qld.gov.au,cairns_regional_council/bob_manning,b.manning@cairns.qld.gov.au,http://www.cairns.qld.gov.au/__data/assets/image/0006/53862/Bob-Manning-Mayor-lowres.jpg,,http://www.cairns.qld.gov.au/council/mayor-and-councillors/mayor,
Brett Moller,,,,Cairns Regional Council,http://www.cairns.qld.gov.au,cairns_regional_council/brett_moller,b.moller@cairns.qld.gov.au,http://www.cairns.qld.gov.au/__data/assets/image/0007/53863/Brett-Moller-Div-1-lowres.jpg,,http://www.cairns.qld.gov.au/council/mayor-and-councillors/division-1,Division 1
John Schilling,,,,Cairns Regional Council,http://www.cairns.qld.gov.au,cairns_regional_council/john_schilling,j.schilling@cairns.qld.gov.au,http://www.cairns.qld.gov.au/__data/assets/image/0008/53864/John-Schilling-Div-2-lowres.jpg,,http://www.cairns.qld.gov.au/council/mayor-and-councillors/division-2,Division 2
Cathy Zeiger,,,,Cairns Regional Council,http://www.cairns.qld.gov.au,cairns_regional_council/cathy_zeiger,C.Zeiger@cairns.qld.gov.au,http://www.cairns.qld.gov.au/__data/assets/image/0017/132236/cathyzeiger.jpg,,http://www.cairns.qld.gov.au/council/mayor-and-councillors/division-3,Division 3
Terry James,,,,Cairns Regional Council,http://www.cairns.qld.gov.au,cairns_regional_council/terry_james,t.james@cairns.qld.gov.au,http://www.cairns.qld.gov.au/__data/assets/image/0010/53866/Terry-James-Div-4-lowres.jpg,,http://www.cairns.qld.gov.au/council/mayor-and-councillors/division-4,Division 4
Richie Bates,,,,Cairns Regional Council,http://www.cairns.qld.gov.au,cairns_regional_council/richie_bates,r.bates@cairns.qld.gov.au,http://www.cairns.qld.gov.au/__data/assets/image/0011/53867/Richie-Bates-Div-5-lowres.jpg,,http://www.cairns.qld.gov.au/council/mayor-and-councillors/division-5,Division 5
Linda Cooper,,,,Cairns Regional Council,http://www.cairns.qld.gov.au,cairns_regional_council/linda_cooper,l.cooper@cairns.qld.gov.au,http://www.cairns.qld.gov.au/__data/assets/image/0003/53868/Linda-Cooper-Div-6-lowres.jpg,,http://www.cairns.qld.gov.au/council/mayor-and-councillors/division-6,Division 6
Max O'Halloran,,,,Cairns Regional Council,http://www.cairns.qld.gov.au,cairns_regional_council/max_o'halloran,m.ohalloran@cairns.qld.gov.au,http://www.cairns.qld.gov.au/__data/assets/image/0004/53869/Max-OHalloran-Div-7-lowres.jpg,,http://www.cairns.qld.gov.au/council/mayor-and-councillors/division-7,Division 7
Jessie Richardson,,,,Cairns Regional Council,http://www.cairns.qld.gov.au,cairns_regional_council/jessie_richardson,j.richardson@cairns.qld.gov.au,http://www.cairns.qld.gov.au/__data/assets/image/0006/53871/Jessie-Richardson-Div-8-lowres.jpg,,http://www.cairns.qld.gov.au/council/mayor-and-councillors/division-8,Division 8
Brett Olds,,,,Cairns Regional Council,http://www.cairns.qld.gov.au,cairns_regional_council/brett_olds,b.olds@cairns.qld.gov.au,,,http://www.cairns.qld.gov.au/council/mayor-and-councillors/division-9,Division 9
Lyall (Jack) Bawden,,,mayor,Carpentaria Shire Council,http://www.carpentaria.qld.gov.au,carpentaria_shire_council/lyall_(jack)_bawden,,,,,
Andrew Murphy,,,,Carpentaria Shire Council,http://www.carpentaria.qld.gov.au,carpentaria_shire_council/andrew_murphy,,,,,
Bradley Hawkins,,,,Carpentaria Shire Council,http://www.carpentaria.qld.gov.au,carpentaria_shire_council/bradley_hawkins,,,,,
Peter Wells,,,,Carpentaria Shire Council,http://www.carpentaria.qld.gov.au,carpentaria_shire_council/peter_wells,,,,,
James (Craig) Young,,,,Carpentaria Shire Council,http://www.carpentaria.qld.gov.au,carpentaria_shire_council/james_(craig)_young,,,,,
Ashley Gallagher,,,,Carpentaria Shire Council,http://www.carpentaria.qld.gov.au,carpentaria_shire_council/ashley_gallagher,,,,,
John Beard,,,,Carpentaria Shire Council,http://www.carpentaria.qld.gov.au,carpentaria_shire_council/john_beard,,,,,
John Kremastos,,,mayor,Cassowary Coast Regional Council,http://www.cassowarycoast.qld.gov.au,cassowary_coast_regional_council/john_kremastos,,,,,
Rick Taylor,,,,Cassowary Coast Regional Council,http://www.cassowarycoast.qld.gov.au,cassowary_coast_regional_council/rick_taylor,,,,,
Wayne Kimberley,,,,Cassowary Coast Regional Council,http://www.cassowarycoast.qld.gov.au,cassowary_coast_regional_council/wayne_kimberley,,,,,
Jeffrey Baines,,,,Cassowary Coast Regional Council,http://www.cassowarycoast.qld.gov.au,cassowary_coast_regional_council/jeffrey_baines,,,,,
Ben Heath,,,,Cassowary Coast Regional Council,http://www.cassowarycoast.qld.gov.au,cassowary_coast_regional_council/ben_heath,,,,,
Glenn Raleigh,,,,Cassowary Coast Regional Council,http://www.cassowarycoast.qld.gov.au,cassowary_coast_regional_council/glenn_raleigh,,,,,
Mark Nolan,,,,Cassowary Coast Regional Council,http://www.cassowarycoast.qld.gov.au,cassowary_coast_regional_council/mark_nolan,,,,,
Kerry Hayes,,,mayor,Central Highlands Regional Council,http://www.chrc.qld.gov.au,central_highlands_regional_council/kerry_hayes,,,,,
Megan Daniels,,,,Central Highlands Regional Council,http://www.chrc.qld.gov.au,central_highlands_regional_council/megan_daniels,,,,,
David Lacey,,,,Central Highlands Regional Council,http://www.chrc.qld.gov.au,central_highlands_regional_council/david_lacey,,,,,
Alan McIndoe,,,,Central Highlands Regional Council,http://www.chrc.qld.gov.au,central_highlands_regional_council/alan_mcindoe,,,,,
Christine Rolfe,,,,Central Highlands Regional Council,http://www.chrc.qld.gov.au,central_highlands_regional_council/christine_rolfe,,,,,
Charlie Brimblecombe,,,,Central Highlands Regional Council,http://www.chrc.qld.gov.au,central_highlands_regional_council/charlie_brimblecombe,,,,,
Gail Godwin-Smith,,,,Central Highlands Regional Council,http://www.chrc.qld.gov.au,central_highlands_regional_council/gail_godwin-smith,,,,,
Gail Nixon,,,,Central Highlands Regional Council,http://www.chrc.qld.gov.au,central_highlands_regional_council/gail_nixon,,,,,
Paul Bell,,,,Central Highlands Regional Council,http://www.chrc.qld.gov.au,central_highlands_regional_council/paul_bell,,,,,
Liz Schmidt,,,mayor,Charters Towers Regional Council,http://www.charterstowers.qld.gov.au,charters_towers_regional_council/liz_schmidt,Liz.schmidt@charterstowers.qld.gov.au,http://www.charterstowers.qld.gov.au/documents/41682213/41770546/Mayor%20Liz%20Schmidt,,http://www.charterstowers.qld.gov.au/councillors,
Alan Barr,,,,Charters Towers Regional Council,http://www.charterstowers.qld.gov.au,charters_towers_regional_council/alan_barr,Alan.barr@charterstowers.qld.gov.autba,http://www.charterstowers.qld.gov.au/documents/41682213/41770546/Cr%20Alan%20Barr,,http://www.charterstowers.qld.gov.au/councillors,
Graham Lohmann,,,,Charters Towers Regional Council,http://www.charterstowers.qld.gov.au,charters_towers_regional_council/graham_lohmann,Graham.lohmann@charterstowers.qld.gov.au,http://www.charterstowers.qld.gov.au/documents/41682213/41770546/Cr%20Graham%20Lohmann,,http://www.charterstowers.qld.gov.au/councillors,
